Application number,Applicant,Year of application,Patent system
JP2010227032A,TORAY,2010,JPO
JP2010235492A,SEKISUI CHEMICAL,2010,JPO
JP2010246419A,SHIMANE PREFECTUAL GOVERNMENT,2010,JPO
JP2010246483A,AJINOMOTO,2010,JPO
JP2010252811A,DSM IP ASSETS BV,2010,JPO
JP2010263812A,NISHIKAWA RUBBER,2010,JPO
JP2010263829A,CHISSO CORPORATION,2010,JPO
JP2010273647A,OTSUKA PHARMACEUTICAL,2010,JPO
JP2010273691A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2010,JPO
JP2010273692A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2010,JPO
JP2010279360A,AMGEN,2010,JPO
JP2010284168A,BASF,2010,JPO
JP2010501168A,"WERNER K GEURSTEN,WERNER E G MUELLER,HEINZ C SCHROEDER",2010,JPO
JP2010505388A,CHEVRON,2010,JPO
JP2010505418A,REGENERON PHARMA,2010,JPO
JP2010506906A,KAIST,2010,JPO
JP2010507367A,CARGILL INC,2010,JPO
JP2010508019A,DU PONT,2010,JPO
JP2010508861A,AETERNA ZENTARIS GMBH,2010,JPO
JP2010512165A,DU PONT,2010,JPO
JP2010516271A,DU PONT,2010,JPO
JP2010516296A,BASF,2010,JPO
JP2010519917A,BOEHRINGER GROUP,2010,JPO
JP2010519930A,MERCK,2010,JPO
JP2010520453A,"KARIN JOOSS,THOMAS HARDING,MINH NGUYEN,KATHRYN E KOPRIVNIKAR",2010,JPO
JP2010523113A,DU PONT,2010,JPO
JP2010524470A,DU PONT,2010,JPO
JP2010527244A,DSM IP ASSETS BV,2010,JPO
JP2010527612A,CHEVRON,2010,JPO
JP2010530225A,KIOST,2010,JPO
JP2010531647A,ROCHE DIAGNOSTICS,2010,JPO
JP2010531669A,"AZTE,HATEM MOHAMED,WIM VERMAAS",2010,JPO
JP2010533669A,BASF,2010,JPO
JP2010539988A,BIO ARCHITECTURE LAB,2010,JPO
JP2011013231A,BAXTER INTERNATIONAL,2011,JPO
JP2011024501A,TORAY,2011,JPO
JP2011024503A,TOYOTA,2011,JPO
JP2011024579A,"A GREY CRAIG,DAVID GRIFFEN,BALDOMERO M OLIVERA,MAREN WATKINS, DAVID R HILLYARD,JULITA IMPERIAL,LOURDES J CRUZ,JOHN D WAGSTAFF, RICHARD T LAYER,ROBERT M JONES,R TYLER MCCABE,COGNETIX INC, UNIVERSITY OF UTAH",2011,JPO
JP2011036252A,STEPHEN R HAMILTON,2011,JPO
JP2011036262A,RIKEN,2011,JPO
JP2011055731A,OSAKA UNIVERSITY,2011,JPO
JP2011062202A,ENTERPRISE IRELAND (BIORESEARCH IRELAND),2011,JPO
JP2011067105A,MITSUBISHI,2011,JPO
JP2011083251A,KAGAWA UNIVERSITY,2011,JPO
JP2011083275A,HOKKAIDO UNIVERSITY,2011,JPO
JP2011087578A,BASF,2011,JPO
JP2011087583A,BASF,2011,JPO
JP2011092198A,THE UNIVERSITY OF CHICAGO,2011,JPO
JP2011097922A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2011,JPO
JP2011125267A,NIPRO CORP,2011,JPO
JP2011155988A,ANZA THERAPEUTICS INC,2011,JPO
JP2011167133A,"GEKKEIKAN SAKE COMPANY LTD,KOBE UNIVERSITY",2011,JPO
JP2011167191A,DU PONT,2011,JPO
JP2011172566A,BASF,2011,JPO
JP2011182796A,ODYSSEY THERAPEUTICS,2011,JPO
JP2011190210A,SUMITOMO CHEMICAL,2011,JPO
JP2011195491A,UNIVERSITY OF TSUKUBA,2011,JPO
JP2011200145A,TOKYO UNIVERSITY,2011,JPO
JP2011200153A,TOYOTA,2011,JPO
JP2011219392A,CHISSO CORPORATION,2011,JPO
JP2011223885A,JAPAN TOBACCO INC,2011,JPO
JP2011231113A,CNRS,2011,JPO
JP2011239780A,NOVARTIS,2011,JPO
JP2011501661A,DU PONT,2011,JPO
JP2011504370A,DU PONT,2011,JPO
JP2011504734A,BASF,2011,JPO
JP2011505391A,SCHWEITZER CO LTD,2011,JPO
JP2011505865A,DU PONT,2011,JPO
JP2011507513A,NATIONAL RESEARCH COUNCIL CANADA,2011,JPO
JP2011508602A,CARGILL INC,2011,JPO
JP2011509085A,PROTERRO INC,2011,JPO
JP2011509655A,LUDWIG-MAXIMILIANS-UNIVERSITAT,2011,JPO
JP2011510611A,UNIVERSITY OF CALIFORNIA,2011,JPO
JP2011512151A,UKHSA,2011,JPO
JP2011512812A,GENESYS LTD GB,2011,JPO
JP2011512865A,COMPUGEN LTD. (IL),2011,JPO
JP2011512868A,DSM IP ASSETS BV,2011,JPO
JP2011514141A,BASF,2011,JPO
JP2011514157A,MERCK,2011,JPO
JP2011515107A,"PAUL VIITANEN,PERRY CAIMI,LUAN TAO,YUYING ZHANG,CAROL MCCUTCHEN, LAURA MCCOLE",2011,JPO
JP2011516026A,ROCHE DIAGNOSTICS,2011,JPO
JP2011517945A,DU PONT,2011,JPO
JP2011519552A,BASF,2011,JPO
JP2011521630A,UNIV BRITISH COLUMBIA [CA],2011,JPO
JP2011521917A,"GUOQIANG CHEN,ZHIHUI WHANG",2011,JPO
JP2011522541A,IFF,2011,JPO
JP2011528565A,BIOGASOL APS,2011,JPO
JP2012029679A,ASAHI,2012,JPO
JP2012031066A,HOKKAIDO UNIVERSITY,2012,JPO
JP2012034690A,TORAY,2012,JPO
JP2012062294A,AIST,2012,JPO
JP2012090630A,TAKEDA CHEMICAL INDUSTRIES LTD,2012,JPO
JP2012100537A,AJINOMOTO,2012,JPO
JP2012110275A,SANYO CHEMICAL INDUSTRIES LTD,2012,JPO
JP2012110330A,NIHON UNIVERSITY,2012,JPO
JP2012110336A,PRECIGEN,2012,JPO
JP2012110347A,NOVOZYMES,2012,JPO
JP2012120471A,EZAKI GLICO,2012,JPO
JP2012120507A,SEKISUI CHEMICAL,2012,JPO
JP2012125190A,KAKE EDUCATIONAL INSTITUTION,2012,JPO
JP2012125229A,ISHIKAWA PREFECTURE,2012,JPO
JP2012130332A,"NIHON SHOKUHIN KAKO CO LTD,HOKKAIDO UNIVERSITY",2012,JPO
JP2012147712A,THERMOSTABLE ENZYME LABORATORY,2012,JPO
JP2012183068A,YALE UNIVERSITY,2012,JPO
JP2012183071A,TAKARA HOLDINGS,2012,JPO
JP2012187057A,NAGASAKI PREFECTURE,2012,JPO
JP2012187112A,EXPRESSTEC,2012,JPO
JP2012187116A,THOMAS JEFFERSON UNIVERSITY (US),2012,JPO
JP2012191951A,NOVOZYMES,2012,JPO
JP2012196144A,AJINOMOTO,2012,JPO
JP2012205595A,CELANESE CORPORATION,2012,JPO
JP2012210208A,HOKKAIDO UNIVERSITY,2012,JPO
JP2012211912A,AIST,2012,JPO
JP2012213382A,NATIONAL UNIVERSITY OF CORPORATION HIROSHIMA UNIVERSITY,2012,JPO
JP2012213404A,HOLOGIC INC,2012,JPO
JP2012217357A,CHISSO CORPORATION,2012,JPO
JP2012217376A,CHISSO CORPORATION,2012,JPO
JP2012235773A,FISHERIES RESEARCH AGENCY,2012,JPO
JP2012249619A,AIST,2012,JPO
JP2012254073A,SCRIPPS RESEARCH INSTITUTE,2012,JPO
JP2012500640A,BASF,2012,JPO
JP2012501645A,KIOST,2012,JPO
JP2012502073A,NOVARTIS,2012,JPO
JP2012503992A,IFF,2012,JPO
JP2012503993A,IFF,2012,JPO
JP2012504418A,DU PONT,2012,JPO
JP2012504419A,DU PONT,2012,JPO
JP2012504420A,DU PONT,2012,JPO
JP2012504421A,DU PONT,2012,JPO
JP2012504422A,DU PONT,2012,JPO
JP2012504692A,DU PONT,2012,JPO
JP2012504938A,DU PONT,2012,JPO
JP2012504960A,ABBOTT LABORATORIES,2012,JPO
JP2012504963A,CHEVRON,2012,JPO
JP2012506714A,"BERNT TH WALTHER,MIRUSHE H MIFTARI",2012,JPO
JP2012507986A,ROCHE,2012,JPO
JP2012509059A,CSIRO,2012,JPO
JP2012510262A,TOTAL,2012,JPO
JP2012510263A,TOTAL,2012,JPO
JP2012511908A,BIO ARCHITECTURE LAB,2012,JPO
JP2012511913A,REGENERON PHARMA,2012,JPO
JP2012514453A,UKHSA,2012,JPO
JP2012514986A,KING FAISAL SPECIALIST HOSPITAL AND RESEARCH CENTRE,2012,JPO
JP2012515729A,NSGENE A/S,2012,JPO
JP2012520070A,DSM IP ASSETS BV,2012,JPO
JP2012520676A,DSM IP ASSETS BV,2012,JPO
JP2012521195A,DSM IP ASSETS BV,2012,JPO
JP2012521753A,DU PONT,2012,JPO
JP2012521755A,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,2012,JPO
JP2012525819A,PROMEGA CORPORATION,2012,JPO
JP2012527223A,ETH ZURICH,2012,JPO
JP2012528572A,HALO-BIO RNAI THERAPEUTICS INC,2012,JPO
JP2012529269A,"THE OHIO STATE UNIVERSITY RESEARCH FOUNDATION,MICHAEL K CHAN,MANOJ S NAIR, MARIANNE M LEE",2012,JPO
JP2012529277A,ROTHAMSTED,2012,JPO
JP2012529913A,DU PONT,2012,JPO
JP2012530182A,DU PONT,2012,JPO
JP2012531921A,LUDWIG-MAXIMILIANS-UNIVERSITAT,2012,JPO
JP2012533298A,MERCK,2012,JPO
JP2012533315A,CNRS,2012,JPO
JP2012533316A,ARCTICZYMES,2012,JPO
JP2013000064A,TOHOKU UNIVERSITY,2013,JPO
JP2013006772A,HOKKAIDO UNIVERSITY,2013,JPO
JP2013009682A,SCRIPPS RESEARCH INSTITUTE,2013,JPO
JP2013009685A,AIST,2013,JPO
JP2013031449A,NIPPON STEEL CORP,2013,JPO
JP2013051909A,UNIVERSITY OF MIYAZAKI,2013,JPO
JP2013051966A,OTSUKA PHARMACEUTICAL,2013,JPO
JP2013082664A,MIE UNIVERSITY,2013,JPO
JP2013100301A,ADENIUM BIOTECH APS,2013,JPO
JP2013106615A,THE CHINESE UNIVERSITY OF HONG KONG,2013,JPO
JP2013116104A,DSM IP ASSETS BV,2013,JPO
JP2013135660A,AIST,2013,JPO
JP2013139391A,HOKKAIDO UNIVERSITY,2013,JPO
JP2013143945A,DSM IP ASSETS BV,2013,JPO
JP2013143962A,EZAKI GLICO,2013,JPO
JP2013146273A,TOYOTA,2013,JPO
JP2013176393A,BASF,2013,JPO
JP2013179909A,TOSOH CORPORATION,2013,JPO
JP2013183639A,ISHIKAWA PREFECTURE,2013,JPO
JP2013184922A,FISHERIES RESEARCH AGENCY,2013,JPO
JP2013198448A,TOYAMA PREFECTURE,2013,JPO
JP2013198495A,KNC LABORATORIES CO,2013,JPO
JP2013208122A,KAZUSA DNA RESEARCH INSTITUTE,2013,JPO
JP2013209431A,CHISSO CORPORATION,2013,JPO
JP2013220103A,ANAPTYSBIO INC,2013,JPO
JP2013226158A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2013,JPO
JP2013231037A,CHISSO CORPORATION,2013,JPO
JP2013236634A,PRECIGEN,2013,JPO
JP2013236637A,PRECIGEN,2013,JPO
JP2013241369A,CENTRAL RESEARCH INSTITUTE OF ELECTRIC POWER INDUSTRY,2013,JPO
JP2013252085A,TOYOTA,2013,JPO
JP2013252115A,KAO CORPORATION,2013,JPO
JP2013500005A,DSM IP ASSETS BV,2013,JPO
JP2013500346A,DU PONT,2013,JPO
JP2013502914A,BASF,2013,JPO
JP2013503610A,LONZA,2013,JPO
JP2013504320A,DSM IP ASSETS BV,2013,JPO
JP2013505739A,IFF,2013,JPO
JP2013505740A,IFF,2013,JPO
JP2013509188A,ABBOTT LABORATORIES,2013,JPO
JP2013511971A,AQUA BIO TECHNOLOGY ASA,2013,JPO
JP2013514797A,INST UNIV DE CIENCIA,2013,JPO
JP2013515470A,BAYER,2013,JPO
JP2013515502A,DSM IP ASSETS BV,2013,JPO
JP2013515503A,DSM IP ASSETS BV,2013,JPO
JP2013516169A,INDUSTRY-ACADEMIC COOPERATION FOUNDATION YONSEI UNIVERSITY,2013,JPO
JP2013519397A,IFF,2013,JPO
JP2013520973A,INRA,2013,JPO
JP2013529058A,"BIOGLOW INC,ALEXANDER KRICHEVSKY",2013,JPO
JP2013529086A,CORTEVA,2013,JPO
JP2013530713A,DSM IP ASSETS BV,2013,JPO
JP2013530717A,SCHWARZ WOLFGANG,2013,JPO
JP2013532979A,DU PONT,2013,JPO
JP2013533736A,EVOLVA,2013,JPO
JP2013534410A,MCGILL UNIVERSITY,2013,JPO
JP2013535963A,TECHNION RESEARCH,2013,JPO
JP2013535987A,DU PONT,2013,JPO
JP2013538555A,TECHNION RESEARCH,2013,JPO
JP2013539370A,IFF,2013,JPO
JP2013539751A,SCRIPPS RESEARCH INSTITUTE,2013,JPO
JP2013541328A,DU PONT,2013,JPO
JP2013542716A,ABBOTT LABORATORIES,2013,JPO
JP2013544100A,GENE STREAM PTY LTD,2013,JPO
JP2013544516A,UNIVERSITY OF CALIFORNIA,2013,JPO
JP2013545453A,UNIVERSITY OF TECHNOLOGY SYDNEY,2013,JPO
JP2014014288A,YAMAGUCHI UNIVERSITY,2014,JPO
JP2014027928A,BASF,2014,JPO
JP2014039501A,INTER-UNIVERSITY RESEARCH INSTITUTE NATIONAL INSTITUTES OF NATURAL SCIENCES,2014,JPO
JP2014051515A,PFIZER,2014,JPO
JP2014054218A,SUMITOMO CHEMICAL,2014,JPO
JP2014060946A,OLYMPUS CORPORATION,2014,JPO
JP2014060947A,OLYMPUS CORPORATION,2014,JPO
JP2014079185A,NIIGATA UNIVERSITY,2014,JPO
JP2014079235A,TOYOBO CO LTD,2014,JPO
JP2014079236A,TOYOBO CO LTD,2014,JPO
JP2014079237A,TOYOBO CO LTD,2014,JPO
JP2014087338A,DSM IP ASSETS BV,2014,JPO
JP2014100073A,TORAY,2014,JPO
JP2014101300A,CHIBA UNIVERSITY,2014,JPO
JP2014117166A,SUMITOMO CHEMICAL,2014,JPO
JP2014117167A,SUMITOMO CHEMICAL,2014,JPO
JP2014117168A,SUMITOMO CHEMICAL,2014,JPO
JP2014121329A,TOKYO UNIVERSITY,2014,JPO
JP2014124120A,SUMITOMO CHEMICAL,2014,JPO
JP2014124121A,SUMITOMO CHEMICAL,2014,JPO
JP2014128269A,BASF,2014,JPO
JP2014131515A,TAKEDA CHEMICAL INDUSTRIES LTD,2014,JPO
JP2014132832A,SEKISUI CHEMICAL,2014,JPO
JP2014143949A,UNIVERSITY OF MIYAZAKI,2014,JPO
JP2014155464A,HONDA MOTOR CO LTD,2014,JPO
JP2014155500A,"IKUO NAKAMURA,TOSHIYUKI MORIIZUMI",2014,JPO
JP2014168755A,KWANSEI GAKUIN EDUCATIONAL FOUNDATION,2014,JPO
JP2014176386A,IFF,2014,JPO
JP2014195456A,ENTERPRISE IRELAND (BIORESEARCH IRELAND),2014,JPO
JP2014198695A,HIROSHI KITAGAWA,2014,JPO
JP2014201565A,CHISSO CORPORATION,2014,JPO
JP2014207908A,CHEVRON,2014,JPO
JP2014207912A,SEIKAGAKU CORPORATION,2014,JPO
JP2014209872A,AIST,2014,JPO
JP2014209913A,BASF,2014,JPO
JP2014501524A,NOVARTIS,2014,JPO
JP2014501760A,DU PONT,2014,JPO
JP2014501761A,DU PONT,2014,JPO
JP2014505046A,DU PONT,2014,JPO
JP2014506250A,DU PONT,2014,JPO
JP2014506464A,UNIVERSITY OF CALIFORNIA,2014,JPO
JP2014506880A,UNIVERSITY SHEFFIELD,2014,JPO
JP2014508531A,CORBION,2014,JPO
JP2014508748A,ASTRAZENECA AB,2014,JPO
JP2014509196A,EAST CHINA UNIVERSITY SCIENCE AND TECHNOLOGY,2014,JPO
JP2014510089A,BAYER,2014,JPO
JP2014511834A,BAYER,2014,JPO
JP2014513932A,NORWEGIAN SCHOOL OF VETERINARY SCIENCE,2014,JPO
JP2014515609A,CORTEVA,2014,JPO
JP2014518611A,"JOHN AIKENS,ROBERT TURNER,VALERIE SERSHON,DENISE HOLZLE",2014,JPO
JP2014519320A,UNIVERSITY OF NEW SOUTH WALES,2014,JPO
JP2014520507A,MYRIO THERAPEUTICS INTERNATIONAL PTY LTD,2014,JPO
JP2014521309A,CSIRO,2014,JPO
JP2014522634A,IFF,2014,JPO
JP2014523750A,CORTEVA,2014,JPO
JP2014524247A,EVOLVA,2014,JPO
JP2014527803A,GOETHE UNIVERSITY FRANKFURT,2014,JPO
JP2014527809A,MERCK,2014,JPO
JP2014531194A,"BROOKHAVEN SCIENCE ASSOCIATES LLC,CARL ANDRE,JOHN SANKLIN",2014,JPO
JP2014532444A,AMYRIS,2014,JPO
JP2014534816A,BASF,2014,JPO
JP2014534973A,BASF,2014,JPO
JP2015015959A,KIOST,2015,JPO
JP2015050994A,TOYOBO CO LTD,2015,JPO
JP2015050995A,TOYOBO CO LTD,2015,JPO
JP2015050996A,TOYOBO CO LTD,2015,JPO
JP2015061525A,TOKYO UNIVERSITY,2015,JPO
JP2015063526A,CHISSO CORPORATION,2015,JPO
JP2015077140A,DSM IP ASSETS BV,2015,JPO
JP2015081252A,KWANSEI GAKUIN EDUCATIONAL FOUNDATION,2015,JPO
JP2015091231A,CARGILL INC,2015,JPO
JP2015091244A,CHEVRON,2015,JPO
JP2015091265A,KANEKA CORP,2015,JPO
JP2015091873A,CHISSO CORPORATION,2015,JPO
JP2015092191A,FUJIFILM,2015,JPO
JP2015107108A,CHISSO CORPORATION,2015,JPO
JP2015119722A,PRECIGEN,2015,JPO
JP2015121557A,LONZA,2015,JPO
JP2015130861A,BASF,2015,JPO
JP2015130865A,LONZA,2015,JPO
JP2015154787A,ROCHE,2015,JPO
JP2015156859A,LUDWIG-MAXIMILIANS-UNIVERSITAT,2015,JPO
JP2015159787A,"HAKODATE REGIONAL INDUSTRY PROMOTION ORGANIZATION, HOKKAIDO RESEARCH ORGANIZATION",2015,JPO
JP2015167553A,CHISSO CORPORATION,2015,JPO
JP2015171361A,BASF,2015,JPO
JP2015177771A,KAO CORPORATION,2015,JPO
JP2015180227A,PROTERRO INC,2015,JPO
JP2015181477A,TOKYO UNIVERSITY OF MARINE SCIENCE AND TECHNOLOGY,2015,JPO
JP2015186454A,TOKYO UNIVERSITY OF MARINE SCIENCE AND TECHNOLOGY,2015,JPO
JP2015192674A,HALO-BIO RNAI THERAPEUTICS INC,2015,JPO
JP2015199744A,NSGENE A/S,2015,JPO
JP2015211679A,CARGILL INC,2015,JPO
JP2015213467A,KAO CORPORATION,2015,JPO
JP2015215244A,FUJIREBIO INC,2015,JPO
JP2015227382A,TAKARA HOLDINGS,2015,JPO
JP2015231384A,DSM IP ASSETS BV,2015,JPO
JP2015500648A,GOVERNMENT OF CHINA,2015,JPO
JP2015500651A,HANGZHOU LEADGENE LIMITED INC,2015,JPO
JP2015501659A,KIEPPE PATRIMONIAL,2015,JPO
JP2015502364A,"KARL A DEISSEROTH,FENG ZHANG",2015,JPO
JP2015503350A,IFF,2015,JPO
JP2015503351A,IFF,2015,JPO
JP2015504421A,ASTRAZENECA AB,2015,JPO
JP2015505323A,KOREA UNIVERSITY INDUSTRIAL AND ACADEMIC COLLABORATION FOUNDATION,2015,JPO
JP2015506697A,REPUBLIC OF KOREA,2015,JPO
JP2015506702A,CORTEVA,2015,JPO
JP2015508056A,SBI BIOTECH CO,2015,JPO
JP2015509533A,MATRIX GENETICS,2015,JPO
JP2015509710A,OXFORD NANOPORE TECHNOLOGIES LIMITED,2015,JPO
JP2015509730A,EVONIK,2015,JPO
JP2015511601A,SCRIPPS RESEARCH INSTITUTE,2015,JPO
JP2015511948A,BOEHRIGER INGELHEIM,2015,JPO
JP2015512644A,CHEVRON,2015,JPO
JP2015513914A,MODERNA,2015,JPO
JP2015514401A,BASF,2015,JPO
JP2015516143A,MODERNA,2015,JPO
JP2015516800A,OXITEC LTD,2015,JPO
JP2015517995A,MODERNA,2015,JPO
JP2015518704A,MODERNA,2015,JPO
JP2015519037A,DU PONT,2015,JPO
JP2015519040A,MODERNA,2015,JPO
JP2015519877A,BASF,2015,JPO
JP2015520605A,DU PONT,2015,JPO
JP2015521026A,DU PONT,2015,JPO
JP2015522244A,DU PONT,2015,JPO
JP2015522245A,DU PONT,2015,JPO
JP2015523088A,IFF,2015,JPO
JP2015528027A,NUFARM,2015,JPO
JP2015528308A,CHEVRON,2015,JPO
JP2015528309A,IFF,2015,JPO
JP2015529675A,ECLOSION VENTURES,2015,JPO
JP2015530091A,ASTRAZENECA AB,2015,JPO
JP2015531789A,ASTRAZENECA AB,2015,JPO
JP2015536158A,MICROCOAT,2015,JPO
JP2015536641A,VIRIDOS,2015,JPO
JP2016000048A,DSM IP ASSETS BV,2016,JPO
JP2016002034A,TOKYO UNIVERSITY,2016,JPO
JP2016007154A,KAO CORPORATION,2016,JPO
JP2016013126A,CSIRO,2016,JPO
JP2016028583A,BASF,2016,JPO
JP2016028599A,PROMEGA CORPORATION,2016,JPO
JP2016034258A,KAO CORPORATION,2016,JPO
JP2016042869A,TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,2016,JPO
JP2016047055A,SANOFI,2016,JPO
JP2016054703A,KAO CORPORATION,2016,JPO
JP2016054715A,CHISSO CORPORATION,2016,JPO
JP2016060743A,REPUBLIC OF KOREA,2016,JPO
JP2016073302A,LUDWIG-MAXIMILIANS-UNIVERSITAT,2016,JPO
JP2016101172A,DU PONT,2016,JPO
JP2016109666A,HIROSHIMA UNIVERSITY,2016,JPO
JP2016112021A,SCRIPPS RESEARCH INSTITUTE,2016,JPO
JP2016119868A,TOYOBO CO LTD,2016,JPO
JP2016129518A,"IKUO NAKAMURA,TOSHIYUKI MORIIZUMI",2016,JPO
JP2016131541A,FUJITA HEALTH UNIVERSITY,2016,JPO
JP2016141678A,HIROSHIMA UNIVERSITY,2016,JPO
JP2016144416A,NIAS,2016,JPO
JP2016146832A,BASF,2016,JPO
JP2016158599A,AJINOMOTO,2016,JPO
JP2016161420A,NIAS,2016,JPO
JP2016163559A,TOYAMA PREFECTURE,2016,JPO
JP2016163562A,BASF,2016,JPO
JP2016165225A,AJINOMOTO,2016,JPO
JP2016168051A,TOYOBO CO LTD,2016,JPO
JP2016171790A,IFF,2016,JPO
JP2016178943A,CHEVRON,2016,JPO
JP2016188251A,KOREA UNIVERSITY RESEARCH AND BUSINESS FOUNDATION,2016,JPO
JP2016192903A,AJINOMOTO,2016,JPO
JP2016195605A,TOKYO UNIVERSITY,2016,JPO
JP2016198075A,PLASMIA BIOTECH,2016,JPO
JP2016202038A,JAIST,2016,JPO
JP2016208993A,DSM IP ASSETS BV,2016,JPO
JP2016214182A,KAO CORPORATION,2016,JPO
JP2016214183A,KAO CORPORATION,2016,JPO
JP2016220683A,BASF,2016,JPO
JP2016500261A,CHEVRON,2016,JPO
JP2016500514A,ROTHAMSTED,2016,JPO
JP2016500698A,BRISTOL-MYERS SQUIBB COMPANY,2016,JPO
JP2016501023A,MERCK,2016,JPO
JP2016501040A,VERDEZYNE INC,2016,JPO
JP2016501530A,GOVERNMENT OF FRANCE,2016,JPO
JP2016502399A,MINERVA BIOTECHNOLOGIES CORPORATION,2016,JPO
JP2016502405A,MERZ PHARMA GMBH AND CO KGAA,2016,JPO
JP2016503648A,HEALTHGEN BIOTECHNOLOGY CO LTD,2016,JPO
JP2016503663A,CHEVRON,2016,JPO
JP2016511003A,BAYER,2016,JPO
JP2016511010A,DU PONT,2016,JPO
JP2016512035A,DSM IP ASSETS BV,2016,JPO
JP2016512047A,AMYRIS,2016,JPO
JP2016514960A,BELLICUM PHARMACEUTICALS INC,2016,JPO
JP2016514964A,BAYER,2016,JPO
JP2016515138A,THE JOHNSON & JOHNSON,2016,JPO
JP2016517276A,HARVARD MEDICAL SCHOOL,2016,JPO
JP2016517690A,CAMBREX IEP GMBH,2016,JPO
JP2016518108A,BASF,2016,JPO
JP2016518114A,GLYCOBIA,2016,JPO
JP2016518825A,GLYCOBIA,2016,JPO
JP2016519077A,SAFEWHITE,2016,JPO
JP2016519577A,"ZACHARY Q BECK,JEFFREY W MUNOS,DEREK H WELLS,JIAN YAO",2016,JPO
JP2016519650A,REGENERON PHARMA,2016,JPO
JP2016519952A,GENECHEM INC,2016,JPO
JP2016520527A,"PARKASH GILL,REN LIU",2016,JPO
JP2016521709A,BELLICUM PHARMACEUTICALS INC,2016,JPO
JP2016523077A,NOVOZYMES,2016,JPO
JP2016523093A,CELLECTIS,2016,JPO
JP2016524472A,THE BROAD INSTITUTE,2016,JPO
JP2016530487A,MARS INCORPORATED,2016,JPO
JP2016531297A,GILUPI GMBH,2016,JPO
JP2016534022A,SBI BIOTECH CO,2016,JPO
JP2016537985A,CORTEVA,2016,JPO
JP2016537992A,ASYMCHEM LABORATORIES,2016,JPO
JP2016539654A,CELLECTIS,2016,JPO
JP2017006130A,IFF,2017,JPO
JP2017029122A,KAO CORPORATION,2017,JPO
JP2017029172A,ROCHE,2017,JPO
JP2017038598A,BASF,2017,JPO
JP2017042170A,CHEVRON,2017,JPO
JP2017046673A,AJINOMOTO,2017,JPO
JP2017051152A,KAO CORPORATION,2017,JPO
JP2017051153A,KAO CORPORATION,2017,JPO
JP2017051208A,TAKARA HOLDINGS,2017,JPO
JP2017055777A,AMYRIS,2017,JPO
JP2017060471A,CORBION,2017,JPO
JP2017060486A,SEIKAGAKU CORPORATION,2017,JPO
JP2017074058A,EVOLVA,2017,JPO
JP2017079639A,KAO CORPORATION,2017,JPO
JP2017079739A,EVOLVA,2017,JPO
JP2017081958A,DU PONT,2017,JPO
JP2017093321A,KAO CORPORATION,2017,JPO
JP2017093325A,KAO CORPORATION,2017,JPO
JP2017093392A,TOYOBO CO LTD,2017,JPO
JP2017105836A,MITSUBISHI,2017,JPO
JP2017131234A,UNIVERSITY OF TECHNOLOGY SYDNEY,2017,JPO
JP2017131252A,TOYOBO CO LTD,2017,JPO
JP2017131253A,TOYOBO CO LTD,2017,JPO
JP2017155045A,SBI BIOTECH CO,2017,JPO
JP2017163848A,"KITASATO INSTITUTE,TOKYO UNIVERSITY",2017,JPO
JP2017178804A,TOYOBO CO LTD,2017,JPO
JP2017184690A,KYOWA HAKKO,2017,JPO
JP2017192342A,KAO CORPORATION,2017,JPO
JP2017195777A,KYOTO UNIVERSITY,2017,JPO
JP2017195861A,KAO CORPORATION,2017,JPO
JP2017195885A,VIRIDOS,2017,JPO
JP2017201905A,KAO CORPORATION,2017,JPO
JP2017209064A,KAO CORPORATION,2017,JPO
JP2017209118A,CHEVRON,2017,JPO
JP2017213008A,DSM IP ASSETS BV,2017,JPO
JP2017221153A,NIIGATA UNIVERSITY,2017,JPO
JP2017503053A,NUFARM,2017,JPO
JP2017505117A,HARVARD MEDICAL SCHOOL,2017,JPO
JP2017505624A,ENZYMATICA AB,2017,JPO
JP2017506212A,TRANSALGAE LTD,2017,JPO
JP2017506507A,BELLICUM PHARMACEUTICALS INC,2017,JPO
JP2017510304A,HADASIT BIO-HOLDINGS LTD,2017,JPO
JP2017511133A,ENZYMATICA AB,2017,JPO
JP2017512494A,CIBUS US LLC,2017,JPO
JP2017512772A,"KENNETH FLANAGAN,STEPHEN JED TAM,YUE LIU,ROBIN BARBOUR,THEODORE YEDNOCK",2017,JPO
JP2017513475A,TERACLON,2017,JPO
JP2017514789A,BAYER,2017,JPO
JP2017516462A,UNIVERSITY OF WASHINGTON,2017,JPO
JP2017518318A,UNIVERSITY OF COLORADO,2017,JPO
JP2017522052A,"JINAN UNIVERSITY,GUANGZHOU SHENGLU BIOTECH LIMITED COMPANY",2017,JPO
JP2017523803A,ARCTICZYMES,2017,JPO
JP2017525355A,AGENCY FOR SCIENCE TECHNOLOGY AMD RESEARCH,2017,JPO
JP2017526372A,MATRIX GENETICS,2017,JPO
JP2017526380A,"METAFORA BIOSYSTEMS,PAULINE FABRE",2017,JPO
